Run,time (Myr),[S] mantle,d34S M,d34S F,d34S SS,d34S S,d34S DM,d34S og,d34S iS,d33S M,d33S F,d33S SS,d33S S,d33S DM,d33S og,d33S iS,d36S M,d36S F,d36S SS,d36S S,d36S DM,d36S og,d36S iS,D33S M,D33S F,D33S SS,D33S S,D33S DM,D33S og,D33S iS,D36S M,D36S F,D36S SS,D36S S,D36S DM,D36S og,D36S iS,ST M,ST F,ST SS,ST S,ST DM,log ST M,log ST F,log ST SS,log ST S,log ST DM,F mo,F fr,F pr,F pu,F sn,F pd,F hg,F bu,F pl,F rs,F sq,F ao,F dm,mo/mo+ca,bu/bu+pl,mbST,mb32,mb33,mb34,mb36,,R33 M,R33 F,R33 SS,R33 S,R33 DM,R33 og,R33 iS,R34 M,R34 F,R34 SS,R34 S,R34 DM,R34 og,R34 iS,R36 M,R36 F,R36 SS,R36 S,R36 DM,R36 og,R36 iS,a33_bu,a34_bu,a36_bu,a33_escape-burial,a34_escape-burial,a36_escape-burial,Run,Symbol,Colour,33S/34S frost,Mantle melting rate,delta frost-mantle
Rd,4570,,358.6159999,358.6159999,,-9.084478925,,,227.3168782,169.7479346,169.7479346,,-4.300063395,,,111.5259349,800.2073231,800.2073231,,-20.270893,,,470.6272787,-1.21948942,-1.21948942,,0.388796547,,,0.273555255,10.08059435,10.08059435,,-3.080965694,,,-5.139544636,,,,,,20.13185543,,,21.7209227,,,,,,,,,,,,,,,,,,,,,,,0.009214386,,,0.007843368,,,0.008755758,0.06,,,0.043761395,,,0.054201491,0.000276317,,,0.000150381,,,0.000225729,,,,,,,Rd,square,white,,,0
Hsl,4570,9.17E-05,255.0369933,316.7497033,258.2417956,-6.52125383,,288.5649814,225.9230342,126.0881797,154.3889523,127.5586971,-3.223073933,,141.4608849,112.7502403,521.6604464,665.7239372,529.1334741,-13.34667942,,599.9598285,453.5719135,1.979990917,2.145727901,1.97313117,0.140700063,,1.986000491,2.14798595,-18.07958741,-21.04710024,-18.08557521,-0.992665434,,-18.8730516,-19.0121287,1.97E+20,3.05E+18,1.31E+19,8.27E+21,0,20.29431591,18.48379646,19.11564762,21.91732722,,3.59E+17,3.82E+17,1.81E+17,1.81E+17,5.24E+16,1.74E+17,1.48E+17,2.26E+17,1.44E+18,1.63E+18,1.85E+17,4.07E+17,0,0.484662668,0.113484725,3.71E-15,4.42E-15,1.65E-14,-1.01E-14,2.07E-15,,0.008870468,0.0090934,0.008882052,0.007851852,,0.008991563,0.008765402,0.055425683,0.058151076,0.055567215,0.043874594,,0.000245581,0.054139935,0.000233563,0.000255675,0.00023471,0.000151443,,0.056906366,0.000223112,1.003446672,1.006706697,1.01279274,0.955552874,0.915651748,0.846341061,Hsl,square,steelblue,0.156336427,1,61.71282121
Omm,4570,5.74E-05,298.9105828,314.6748053,300.5247186,-7.617727351,,312.0662264,213.5519709,144.7490844,151.9287898,145.4853713,-3.688453118,,150.7347721,105.8201217,652.5475299,691.1284925,656.5017473,-16.63451688,,684.7190536,443.3475141,0.571813051,0.620994676,0.57606711,0.241951118,,0.604022952,1.00384038,8.930679878,9.404011846,9.00198328,-2.210462988,,9.328982045,-1.130452973,1.22E+20,4.68E+18,8.81E+18,5.26E+21,0,20.08686051,18.67001518,18.94498627,21.7209227,,1.12E+18,2.93E+18,1.81E+17,1.15E+17,1.94E+18,1.74E+17,8.10E+17,2.11E+18,4.49E+18,5.51E+18,1.01E+18,2.23E+18,0,0.277300319,0.250664902,9.52E-15,1.02E-14,4.26E-15,8.68E-16,-2.60E-15,,0.009017465,0.009074021,0.009023264,0.007848186,,0.009064615,0.008710812,0.057363254,0.058059443,0.057434539,0.04382617,,0.000258591,0.053593597,0.000253653,0.000259575,0.00025426,0.000150939,,0.057944241,0.000221542,1.000677997,1.000719213,1.000560533,0.958919623,0.921130258,0.850061203,Omm,diamond,grey,0.156288457,1,15.76422247
0sq,4570,1.47E-37,3.79E-11,332.4611039,3.82E-11,-8.441587883,,333.0396675,229.4677234,-1.96E-11,159.9579608,-1.94E-11,-4.061525295,,160.217324,113.5754891,2.15E-11,731.1413513,2.19E-11,-18.56455958,,732.5666396,475.3627932,-3.91E-11,0.654617606,-3.91E-11,0.294829382,,0.654768847,1.320601278,-5.06E-11,5.924757839,-5.07E-11,-2.586487434,,5.926476733,-5.321776459,3.12E-13,1.36E+20,1.86E-14,5.26E+21,0,-12.50575986,20.13235081,-13.73043182,21.7209227,,5.74E-16,1.70E+19,1.81E+17,1.15E+17,1.33E+19,1.74E+17,3.39E+18,1.35E+19,2.30E-15,2.33E-15,0,1.36E+19,0,3.38E-35,0.798634276,-1.42E-14,-1.60E-14,3.12E-14,2.05E-14,-2.21E-14,,0.007877241,0.009137268,0.007877241,0.007845247,,0.009139312,0.008771903,0.044162589,0.058844932,0.044162589,0.043789787,,0.000265935,0.054296478,0.000153492,0.000265716,0.000153492,0.000150642,,0.058870483,0.000226456,1.000106386,1.000112853,1.000087954,0.959467694,0.921688731,0.850462888,0sq,triangle-up,grey,0.155277068,1,332.4611039
2M,4570,6.12E-05,201.2105564,261.0043599,204.7560415,-5.370468639,-1.39E-09,235.3956484,169.1489179,98.68066987,128.4236968,100.448578,-2.634084324,-6.06E-09,115.6307759,82.64799791,434.177775,569.7973058,442.1846016,-11.59183885,-3.36E-09,511.7975484,361.5082931,-0.33493045,1.56608439,-0.236409646,0.13531863,-5.35E-09,0.617278462,-1.161527157,17.48275802,16.11751246,17.53416871,-1.412612714,-7.17E-10,17.51911724,15.79457119,1.30E+20,2.18E+18,8.74E+18,5.26E+21,6.03E+21,20.11392066,18.33918683,18.94129473,21.7209227,21.78028029,2.40E+17,2.73E+17,1.81E+17,1.15E+17,-7.03E+15,1.74E+17,1.03E+17,1.74E+17,9.58E+17,1.09E+18,1.28E+17,2.82E+17,1.96E+16,0.466977215,0.127712154,-2.01E-12,-2.08E-12,1.85E-12,-1.03E-12,1.60E-14,,0.008654573,0.008888865,0.008668499,0.007856492,0.007877241,0.008788093,0.008528279,0.053048568,0.055689217,0.053205146,0.043925415,0.044162589,0.000232049,0.051632643,0.000220135,0.000240951,0.000221364,0.000151713,0.000153492,0.05455827,0.000208981,1.008225,1.008725,1.0068,0.951741693,0.91381967,0.844793097,2M,circle,steelblue,0.159615558,1,59.79380352
0fr,4570,7.30E-29,-29.24271915,220.491828,-29.32324461,-5.627369431,,220.4361303,154.9902572,-15.17381178,115.9932931,-15.21589862,-2.960368725,,115.9652141,82.97186106,-54.79358,447.1047881,-54.94245147,-11.41096176,,446.9823657,303.1336681,-0.005440984,7.927721934,-0.005455119,-0.058307565,,7.925685279,5.941774906,0.035726094,-13.10839208,0.035814798,-0.746040455,,-13.10420585,-11.78475277,0.000155241,1.36E+20,9.80E-06,5.26E+21,0,-3.808993384,20.13235081,-5.008875788,21.7209227,,2.86E-07,0,1.81E+17,1.15E+17,-2.89E+17,1.74E+17,5.71E-08,1.74E+17,1.14E-06,1.23E-06,7.14E-08,1.57E-07,0,1,1,7.97E-15,8.38E-15,3.18E-14,4.78E-15,3.90E-15,,0.007757713,0.008790948,0.007757382,0.007853922,,0.008790727,0.00853083,0.042871155,0.053900079,0.042867599,0.04391407,,0.0002221,0.05100736,0.000145082,0.000222119,0.000145059,0.00015174,,0.053897619,0.000200021,1.008225,1.008725,1.0068,0.951741693,0.91381967,0.844793097,0fr,triangle-down,grey,0.16309713,1,249.7345471
Mmm,4570,5.74E-05,309.5138014,325.4070948,311.1411541,-7.883638542,,322.7770989,223.4588026,149.4653831,156.6748423,150.2047217,-3.806554266,,155.4758497,110.3762276,677.7863551,716.9575135,681.8010652,-17.26849409,,710.44988,465.392238,0.487441158,0.536285781,0.491657249,0.261312,,0.519332853,0.924233133,8.583373058,9.052737804,8.654625698,-2.342734603,,8.978422673,-1.572804889,1.22E+20,4.68E+18,8.81E+18,5.26E+21,0,20.08686051,18.67001518,18.94498627,21.7209227,,1.12E+18,2.93E+18,1.81E+17,1.15E+17,1.94E+18,1.74E+17,8.10E+17,2.11E+18,4.49E+18,5.51E+18,1.01E+18,2.23E+18,0,0.277300319,0.250664902,1.65E-14,1.86E-14,-3.89E-14,-1.48E-14,3.90E-15,,0.009054616,0.009111407,0.00906044,0.007847256,,0.009101962,0.008746701,0.05783152,0.058533409,0.057903388,0.043814427,,0.00026254,0.054031108,0.000257527,0.000263539,0.000258143,0.000150841,,0.058417261,0.000224926,1.000677997,1.000719213,1.000560533,0.958919623,0.921130258,0.850061203,Mmm,circle,white,0.155661643,5,15.89329343
Hmm,4570,5.72E-05,315.9596728,325.2609406,316.8305805,-8.038751961,,324.5944374,222.9668033,152.3386652,156.5410719,152.7328008,-3.875543666,,156.2366683,110.2587428,693.1176868,716.0637642,695.2705364,-17.63732203,,714.3940772,463.1875503,0.451527004,0.468173924,0.453128776,0.272516291,,0.46323543,1.036539444,8.269002051,8.516802777,8.302644603,-2.418959555,,8.478397032,-2.656842906,1.22E+20,5.01E+18,8.86E+18,5.26E+21,0,20.08547073,18.70018812,18.94762561,21.7209227,,2.24E+18,6.27E+18,1.81E+17,1.15E+17,4.39E+18,1.74E+17,1.70E+18,4.57E+18,8.95E+18,1.11E+19,2.13E+18,4.68E+18,0,0.262987044,0.263183021,8.16E-15,8.59E-15,-2.23E-15,5.79E-15,3.09E-15,,0.009077249,0.009110353,0.009080354,0.007846712,,0.009107955,0.008745776,0.058116186,0.058526954,0.058154648,0.043807577,,0.000263146,0.05400938,0.00025988,0.000263402,0.00026021,0.000150785,,0.05849752,0.000224587,1.000313572,1.000332634,1.000259245,0.959268969,0.921486229,0.85031725,Hmm,triangle-up,white,0.155660805,10,9.301267851
BM,4570,0.001384541,73.09565344,78.3779174,73.52350249,-44.61928595,,78.53213604,-4.921827063,37.112564,39.74484558,37.32616053,-22.65341759,,39.81978591,-1.83345802,145.0215356,155.8068702,145.8978245,-88.53053284,,156.107568,-14.79064839,0.112473191,0.119023818,0.113159662,0.579799417,,0.117398301,0.704315634,1.58246431,1.649914234,1.592396618,-5.458655876,,1.636985898,-5.459892217,2.97E+21,9.02E+19,1.56E+20,5.26E+21,0,21.47342299,19.95536243,20.19202172,21.7209227,,3.91E+18,1.13E+19,1.81E+17,1.15E+17,8.07E+18,1.74E+17,3.04E+18,8.24E+18,1.57E+19,1.95E+19,3.80E+18,8.36E+18,0,0.257575069,0.268165408,-1.06E-14,-1.20E-14,9.16E-15,1.73E-14,-2.07E-15,,0.008169586,0.008190321,0.008171268,0.007698795,,0.008190911,0.007862798,0.047390682,0.047623961,0.047409577,0.042192086,,0.000177453,0.043945228,0.000175752,0.000177407,0.000175886,0.000139903,,0.047630771,0.000151222,1.000173759,1.000184322,1.000143655,0.959403064,0.921622871,0.850415524,LM,diamond,firebrick,0.171978993,1,5.282263961
BM-Mmm,4570,0.001382827,75.51216231,78.29278251,75.60007528,-46.03195775,,79.10921177,-5.110205413,38.30335031,39.68601916,38.34717348,-23.3490799,,40.09149876,-1.884092278,149.7777333,155.4418338,149.9579158,-91.30678999,,157.0989892,-15.47365986,0.101274582,0.102467105,0.101394058,0.628215557,,0.102654007,0.750933123,1.441365242,1.457994842,1.443196429,-5.660580689,,1.454481068,-5.786601026,2.97E+21,9.32E+19,1.56E+20,5.26E+21,0,21.47288498,19.96931561,20.19407252,21.7209227,,1.96E+19,5.82E+19,1.81E+17,1.15E+17,4.25E+19,1.74E+17,1.56E+19,4.27E+19,7.83E+19,9.77E+19,1.95E+19,4.28E+19,0,0.251479159,0.273653256,1.46E-14,1.61E-14,-1.70E-14,-1.25E-14,-1.03E-15,,0.008178966,0.008189857,0.008179311,0.007693315,,0.008193051,0.0078624,0.047497402,0.047620201,0.047501284,0.042129699,,0.000177605,0.043936909,0.000176482,0.000177351,0.000176509,0.000139477,,0.047656257,0.000151117,1.000033552,1.000035592,1.000027739,0.959537574,0.921759939,0.850514098,LM-Hmm,circle,firebrick,0.17198284,5,2.780620198
BM-Hmm,4570,0.001382613,75.81373699,78.28178748,75.85783865,-46.20797295,,79.17875299,-5.133737581,38.45205969,39.67885823,38.47403967,-23.43582375,,40.12447144,-1.890338875,150.370433,155.394148,150.4608292,-91.65214742,,157.2163932,-15.55938354,0.100071016,0.100765352,0.10012974,0.634219371,,0.101111832,0.756835813,1.422197845,1.432665927,1.423102934,-5.685423253,,1.430381512,-5.827819742,2.97E+21,9.35E+19,1.56E+20,5.26E+21,0,21.47281768,19.97102865,20.19432819,21.7209227,,3.91E+19,1.17E+20,1.81E+17,1.15E+17,8.55E+19,1.74E+17,3.12E+19,8.57E+19,1.57E+20,1.96E+20,3.90E+19,8.58E+19,0,0.250737398,0.274327868,-4.95E-16,0,7.48E-15,-1.05E-14,-2.07E-15,,0.008180137,0.008189801,0.00818031,0.007692631,,0.008193311,0.00786235,0.04751072,0.047619715,0.047512668,0.042121925,,0.000177623,0.04393587,0.000176573,0.000177344,0.000176586,0.000139424,,0.047659328,0.000151104,1.000016704,1.000017719,1.00001381,0.95955374,0.921776413,0.850525945,LM-Hmm,triangle-up,firebrick,0.171983409,10,2.468050485
Lpl,4570,5.68E-05,260.7203797,323.0204651,281.7770048,-6.765317149,,298.2739779,228.6615847,127.8413845,158.0787599,138.079254,-3.316696501,,146.0159198,112.1378815,560.6201638,707.2798893,610.14328,-14.5726777,,649.113147,485.1869266,1.114470808,3.012815408,1.699663429,0.173177093,,2.127478867,0.258634922,7.605096475,5.21360896,7.474767451,-1.757716891,,7.026500423,6.346440503,1.21E+20,8.69E+18,5.94E+18,5.26E+21,0,20.08277678,18.93883779,18.77411448,21.7209227,,2.22E+17,2.72E+17,1.81E+17,1.15E+17,-1.73E+16,1.74E+17,9.89E+16,1.74E+17,5.56E+16,1.86E+17,1.24E+17,2.72E+17,0,0.449926439,0.384999007,-1.54E-14,-1.62E-14,1.18E-14,9.84E-15,-1.01E-14,,0.008884278,0.009122466,0.008964925,0.007851115,,0.009027444,0.008760578,0.055676676,0.058428009,0.056606591,0.043863815,,0.000253126,0.054260877,0.000239543,0.000262054,0.000247144,0.000151255,,0.05733514,0.000227964,1.008225,1.008725,1.0068,0.951741693,0.91381967,0.844793097,Lpl,square,grey,0.156131721,1,62.3000854
0pd,4570,5.89E-05,255.4675973,312.4234662,258.4574195,-6.53541265,,286.7787247,228.2114491,123.8828627,149.4985631,125.2266074,-3.168278589,,137.9766336,111.651744,554.1638898,696.6738783,561.6606346,-14.18535464,,632.3270734,485.600648,-0.423935918,-0.793447244,-0.458293106,0.202810399,,-0.684492126,-0.017698235,13.41995809,20.41699084,13.93776974,-1.804597006,,17.75529765,7.789396527,1.25E+20,1.99E+18,8.38E+18,5.26E+21,0,20.09782143,18.29782265,18.92327338,21.7209227,,2.30E+17,2.49E+17,1.81E+17,1.15E+17,1.48E+17,0,9.58E+16,1.48E+17,9.21E+17,1.05E+18,1.20E+17,2.63E+17,0,0.480763422,0.115460545,5.83E-16,8.18E-16,-4.06E-16,3.18E-15,-3.09E-15,,0.008853096,0.009054877,0.008863681,0.007852284,,0.008964116,0.008756749,0.055444699,0.057960018,0.055576738,0.043873968,,0.000250549,0.054240997,0.000238552,0.000260426,0.000239702,0.000151315,,0.05682748,0.000228028,1,1,1,0.959569768,0.921792746,0.85053769,0pd,circle,grey,0.156226268,1,56.95586889
today,4570,5.89E-05,259.1199312,323.7178726,262.5233373,-6.630728398,,296.9747922,227.4319346,126.9965364,158.448411,128.6604251,-3.249683655,,145.3761932,111.5170034,557.6216562,709.5720207,565.6133935,-14.27507528,,646.7460741,483.0548652,1.006478683,3.068936865,1.103962349,0.170650441,,2.077411581,0.210974501,8.350314379,5.80062729,8.375770302,-1.714291059,,7.780176939,7.025170263,1.25E+20,1.99E+18,8.38E+18,5.26E+21,0,20.09782143,18.29782265,18.92327338,21.7209227,,2.30E+17,2.49E+17,1.81E+17,1.15E+17,-2.57E+16,1.74E+17,9.58E+16,1.74E+17,9.21E+17,1.05E+18,1.20E+17,2.63E+17,0,0.480763422,0.132806495,1.36E-14,1.53E-14,1.22E-14,-1.51E-14,-1.07E-14,,0.008877623,0.009125377,0.00889073,0.007851643,,0.009022404,0.008755687,0.055605996,0.058458808,0.055756299,0.043869759,,0.000252762,0.054206572,0.000239082,0.000262406,0.000240309,0.000151301,,0.057277765,0.000227637,1.008225,1.008725,1.0068,0.951741693,0.91381967,0.844793097,today,diamond,white,0.156099272,1,64.59794141