fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space
0.46,0.54,2.49E+03,21.57720971,0.04710925,66.72301836,0.043190722,-22.00656924,0.041655946,-56.75942014,0.008141893,33.59698354,0.007795417,-10.38740733,0.007652111,-28.57981729,0.000173739,131.9106876,0.000146016,-48.7030239,0.000136268,-112.2156833,-0.765370912,0.945975827,0.651284083,5.13695274,-6.890542348,-4.372785027,21.64684564
0.45,0.55,2.54E+03,21.56766439,0.047195454,68.67498143,0.043269755,-20.21696966,0.041684764,-56.10687638,0.008149511,34.5641646,0.007802711,-9.461384354,0.0076548,-28.2384167,0.00017435,135.8873487,0.000146529,-45.3609001,0.000136451,-111.0218479,-0.803450836,0.950355021,0.656624635,5.404883964,-6.948657748,-4.418782754,21.65481457
0.44,0.56,2.58E+03,21.55790455,0.047283758,70.67450569,0.043350714,-18.38376502,0.041713991,-55.44506741,0.008157309,35.55401765,0.007810177,-8.513654185,0.007657526,-27.89236823,0.000174976,139.9678261,0.000147056,-41.93152541,0.000136637,-109.809737,-0.843352778,0.953984799,0.66184148,5.686265336,-7.002371871,-4.464108879,21.6626399
0.43,0.57,2.63E+03,21.54792033,0.047374263,72.72387126,0.043433691,-16.50486484,0.041743641,-54.7736846,0.008165293,36.56760792,0.007817821,-7.543196929,0.00766029,-27.54152045,0.000175619,144.1572841,0.000147596,-38.41055976,0.000136826,-108.5787167,-0.88518578,0.956808465,0.666927118,5.981928667,-7.051316556,-4.508715908,21.67032673
0.42,0.58,2.68E+03,21.53770117,0.047467078,74.82552387,0.043518786,-14.57802684,0.041773728,-54.09240227,0.008173473,37.60607694,0.007825654,-6.548919629,0.007663093,-27.18571366,0.00017628,148.4612712,0.000148151,-34.79333981,0.000137018,-107.328117,-0.929067856,0.958764195,0.671873509,6.292775814,-7.095088806,-4.552552737,21.67787987
0.41,0.59,2.72E+03,21.52723573,0.047562317,76.98209116,0.043606103,-12.60084194,0.041804268,-53.40087626,0.008181859,38.67064999,0.007833683,-5.529649142,0.007665936,-26.82477925,0.000176959,152.8857595,0.000148722,-31.07484643,0.000137213,-106.0572292,-0.975126956,0.959784459,0.676672025,6.619786325,-7.133246732,-4.595564303,21.68530389
0.4,0.6,2.77E+03,21.51651187,0.047660107,79.19640105,0.043695759,-10.57071745,0.041835276,-52.69874251,0.008190461,39.76264448,0.007841919,-4.484124132,0.007668821,-26.458539,0.000177657,157.4371881,0.000149309,-27.24966807,0.000137411,-104.765302,-1.023502062,0.959795355,0.681313391,6.964026124,-7.16530492,-4.637691199,21.69260313
0.39,0.61,2.82E+03,21.50551648,0.047760581,81.47150248,0.043787876,-8.484858037,0.04186677,-51.98561534,0.00819929,40.88347935,0.007850372,-3.410986031,0.007671749,-26.08680428,0.000178376,162.1225121,0.000149914,-23.3119594,0.000137613,-103.4515384,-1.074344424,0.958715858,0.685787624,7.326657397,-7.190729128,-4.67886923,21.69978171
0.38,0.62,2.86E+03,21.49423547,0.047863886,83.81068885,0.043882587,-6.340244241,0.041898767,-51.26108564,0.008208358,42.03468578,0.007859054,-2.308768829,0.007674722,-25.70937514,0.000179117,166.9492587,0.000150536,-19.25539425,0.000137818,-102.1150916,-1.127818978,0.956456956,0.690083963,7.708949899,-7.208930191,-4.719028928,21.70684357
0.37,0.63,2.91E+03,21.4826536,0.047970178,86.2175247,0.043980038,-4.133608013,0.041931287,-50.5247188,0.008217679,43.21791926,0.007867978,-1.175887475,0.007677742,-25.3260394,0.000179881,171.9255909,0.000151178,-15.07311222,0.000138027,-100.7550607,-1.184105966,0.952920652,0.694190786,8.112293915,-7.219257,-4.758094991,21.71379243
0.36,0.64,2.95E+03,21.47075438,0.048079629,88.69587611,0.044080385,-1.861404871,0.04196435,-49.77605244,0.008227266,44.4349734,0.007877157,-0.010624685,0.00768081,-24.93657148,0.000180669,177.0603798,0.000151841,-10.75765763,0.000138239,-99.37048529,-1.243402798,0.947998824,0.698095525,8.538215164,-7.220988379,-4.795985659,21.72063185
0.35,0.65,3.00E+03,21.45851992,0.048192423,91.24994536,0.044183797,0.480217939,0.041997978,-49.01459379,0.008237135,45.68779567,0.007886606,1.188884131,0.007683928,-24.54073124,0.000181483,182.3632882,0.000152525,-6.300909576,0.000138456,-97.9603402,-1.305926195,0.941571892,0.701784561,8.988392017,-7.213323661,-4.832611992,21.72736523
0.34,0.66,3.05E+03,21.44593079,0.048308763,93.88431086,0.04429046,2.895457985,0.042032194,-48.2398169,0.008247302,46.97850542,0.007896341,2.424668144,0.007687098,-24.1382626,0.000182325,187.8448661,0.000153232,-1.694001525,0.000138676,-96.52352918,-1.371914671,0.933507282,0.705243109,9.46467545,-7.195371695,-4.867877062,21.73399581
0.33,0.67,3.09E+03,21.43296582,0.048428871,96.60397301,0.044400577,5.38889974,0.042067023,-47.4511593,0.008257786,48.30941469,0.007906379,3.698940989,0.007690323,-23.72889195,0.000183195,193.516661,0.000153964,3.072771503,0.000138901,-95.0588777,-1.441631411,0.923657623,0.708455087,9.969112264,-7.166138003,-4.901675017,21.74052668
0.32,0.68,3.14E+03,21.41960185,0.048552987,99.41440733,0.044514369,7.965563277,0.042102492,-46.6480184,0.008268606,49.68305214,0.007916739,5.014123732,0.007693604,-23.31232651,0.000184097,199.3913462,0.000154721,8.010060553,0.00013913,-93.56512497,-1.51536764,0.911858645,0.711402965,10.50397223,-7.124509674,-4.933890012,21.74696079
0.31,0.69,3.18E+03,21.40581357,0.048681377,102.3216262,0.04463208,10.63096082,0.042138629,-45.82974727,0.008279785,51.10219092,0.007927442,6.372871517,0.007696945,-22.88825225,0.000185032,205.4828696,0.000155507,13.12958803,0.000139364,-92.04091478,-1.593446552,0.897926693,0.714067589,11.07177993,-7.069237536,-4.964394977,21.75330097
0.3,0.7,3.23E+03,21.39157313,0.048814334,105.3322506,0.044753977,13.39116276,0.042175465,-44.99564994,0.008291347,52.56988112,0.007938511,7.778104626,0.007700347,-22.45633173,0.000186003,211.8066286,0.000156323,18.44429422,0.000139603,-90.48478508,-1.67622795,0.881655803,0.716427987,11.67535239,-6.998915025,-4.993050189,21.75954992
0.29,0.71,3.28E+03,21.37684987,0.048952181,108.4535951,0.044880358,16.25287504,0.042213033,-44.14497598,0.008303317,54.08948773,0.007949972,9.233044857,0.007703814,-22.0162015,0.000187011,218.3796742,0.000157171,23.9685096,0.000139847,-88.89515599,-1.76411373,0.862814212,0.718461129,12.31784358,-6.91195297,-5.019701616,21.76571023
0.28,0.72,3.32E+03,21.36160991,0.049095275,111.6937665,0.04501155,19.22353038,0.042251368,-43.27691425,0.008315726,55.66473537,0.007961853,10.74125834,0.007707349,-21.56746918,0.000188062,225.2209541,0.000158053,29.71815833,0.000140097,-87.27031606,-1.857554399,0.841140197,0.720141664,13.00279761,-6.806549388,-5.044178983,21.77178437
0.27,0.73,3.37E+03,21.34581564,0.049244015,115.0617828,0.045147918,22.31139643,0.042290511,-42.39058573,0.008328605,57.29976127,0.007974184,12.30670623,0.007710955,-21.10971005,0.000189156,232.3515998,0.000158973,35.71100016,0.000140352,-85.60840638,-1.957056888,0.816337068,0.721441602,13.7342124,-6.68065306,-5.066293498,21.77777474
0.26,0.74,3.42E+03,21.32942522,0.049398846,118.5677129,0.04528987,25.52570467,0.042330502,-41.48503519,0.008341992,58.99917821,0.007987001,13.93380503,0.007714635,-20.64246318,0.000190299,239.7952711,0.000159934,41.96691954,0.000140613,-83.90740204,-2.063193933,0.788067124,0.722329942,14.51661656,-6.531919333,-5.085835175,21.7836836
0.25,0.75,3.46E+03,21.31239189,0.049560266,122.2228458,0.045437863,28.87680506,0.042371389,-40.5592215,0.008355926,60.76815011,0.008000343,15.62749888,0.007718395,-20.16522684,0.000191493,247.5785697,0.000160938,48.50827347,0.00014088,-82.16509052,-2.176615462,0.755944279,0.722772236,15.35516273,-6.357656147,-5.102569662,21.78951314
0.24,0.76,3.51E+03,21.29466312,0.049728837,126.0398942,0.045592413,32.37635292,0.04241322,-39.61200625,0.008370455,62.61248302,0.008014253,17.39334679,0.007722237,-19.67745315,0.000192745,255.7315407,0.000161989,55.36031291,0.000141154,-80.37904632,-2.298062476,0.71952504,0.722730065,16.2557418,-6.154757636,-5.116234441,21.79526547
0.23,0.77,3.55E+03,21.27617971,0.049905194,130.0332426,0.0457541,36.03753626,0.042456052,-38.64214032,0.008385628,64.53873582,0.008028781,19.23762852,0.007726167,-19.17854185,0.000194058,264.2882846,0.000163093,62.55169708,0.000141436,-78.54660089,-2.428384119,0.67829735,0.722160415,17.22512367,-5.919621808,-5.126534279,21.8009426
0.22,0.78,3.60E+03,21.25687456,0.050090059,134.2192515,0.045923588,39.87535463,0.042499945,-37.64824798,0.008401506,66.55435569,0.008043982,21.16747433,0.00773019,-18.66783279,0.000195439,273.2877101,0.000164254,70.11512616,0.000141725,-76.66480688,-2.56855883,0.631666694,0.721014924,18.27113222,-5.648047634,-5.133135714,21.80654648
0.21,0.79,3.65E+03,21.23667117,0.050284258,138.6166334,0.046101634,43.90696413,0.042544966,-36.62880783,0.008418154,68.66784541,0.008059922,23.19102517,0.007734312,-18.14459706,0.000196896,282.7744683,0.000165478,78.08812662,0.000142021,-74.73039521,-2.719720809,0.578938641,0.719238971,19.40286477,-5.335105225,-5.135660333,21.81207897
0.2,0.8,3.69E+03,21.21548187,0.050488744,143.2469231,0.046289111,48.15210813,0.04259119,-35.58212985,0.008435651,70.88897194,0.008076674,25.31763237,0.007738538,-17.60802633,0.000198434,292.8001238,0.000166771,86.51403504,0.000142327,-72.73972323,-2.883193428,0.519296679,0.716770548,20.63097003,-4.974970415,-5.133676506,21.81754186
0.19,0.81,3.74E+03,21.19320548,0.050704617,148.1350697,0.046487028,52.63366077,0.0426387,-34.50632753,0.008454084,73.22902905,0.008094323,27.55810909,0.007742877,-17.0572198,0.000200065,303.4246365,0.000168142,95.44324372,0.000142642,-70.68871144,-3.060531866,0.451773794,0.71353888,21.96800395,-4.560711744,-5.126689131,21.8229369
0.18,0.82,3.79E+03,21.16972438,0.050933164,153.3101939,0.046696564,57.37832015,0.04268759,-33.39928358,0.008473557,75.70117167,0.008112968,29.92505046,0.007747336,-16.49116835,0.000201799,314.7182589,0.000169599,104.9347955,0.000142967,-68.57276557,-3.253578165,0.375215584,0.709462696,23.42889056,-4.084012837,-5.114126766,21.82826573
0.17,0.83,3.83E+03,21.1449008,0.051175898,158.8065632,0.046919108,62.41750377,0.042737965,-32.25860754,0.008494193,78.32084685,0.008132726,32.4332462,0.007751924,-15.90873484,0.000203648,326.763997,0.000171152,115.0584513,0.000143302,-66.38667966,-3.464533219,0.28823176,0.704448042,25.03152682,-3.534805875,-5.095325327,21.83352997
0.16,0.84,3.88E+03,21.11857186,0.051434616,164.664872,0.047156306,67.78852082,0.042789946,-31.0815825,0.008516135,81.10635686,0.008153734,35.10021971,0.007756651,-15.30862949,0.000205627,339.6608444,0.000172816,125.8974089,0.000143649,-64.12451391,-3.696052247,0.18913149,0.698385494,26.79758757,-2.900780636,-5.069507154,21.83873116
0.15,0.85,3.92E+03,21.09054314,0.051711474,170.9339405,0.047410135,73.53613072,0.042843669,-29.86509746,0.008539556,84.07960593,0.008176158,37.94694312,0.007761529,-14.68937865,0.000207756,353.5281012,0.000174605,137.5519321,0.000144009,-61.77943895,-3.951373432,0.075835799,0.691146544,28.7536142,-2.166716226,-5.035753771,21.8438708
0.14,0.86,3.97E+03,21.06057991,0.052009089,177.6730137,0.047682994,79.71465052,0.042899293,-28.60556013,0.008564665,87.26710772,0.008200199,40.99880179,0.007766571,-14.04928462,0.000210055,368.5112396,0.000176538,150.1442811,0.000144383,-59.34353413,-4.234494325,-0.054243232,0.682578845,30.93251364,-1.313554935,-4.992969877,21.84895033
0.13,0.87,4.02E+03,21.02839523,0.052330678,184.9549301,0.047977833,86.39086011,0.042957004,-27.29878263,0.008591718,90.70137042,0.0082261,44.28692053,0.007771793,-13.3863732,0.000212554,384.7900313,0.000178638,163.8255418,0.000144772,-56.8075219,-4.550418596,-0.20437243,0.672499854,33.37566407,-0.317092385,-4.939834905,21.85397113
0.12,0.88,4.06E+03,20.99363312,0.052680253,192.8705868,0.048298331,93.64809571,0.043017019,-25.93982894,0.008621033,94.42284309,0.008254167,47.85002711,0.007777213,-12.69832376,0.000215286,402.5900567,0.000180934,178.7853002,0.000145179,-54.16041154,-4.905509128,-0.378742176,0.660688145,36.13594172,0.853918315,-4.874736554,21.85893455
0.11,0.89,4.11E+03,20.95584456,0.053062914,201.5353907,0.048649162,101.5921647,0.043079598,-24.52280679,0.008653013,98.48271964,0.008284787,51.73713691,0.007782853,-11.9823742,0.000218296,422.19943,0.000183464,195.2656972,0.000145604,-51.38901033,-5.308006551,-0.582827899,0.6468713,39.28218777,2.240584321,-4.795677434,21.86384188
0.1,0.9,4.15E+03,20.91445188,0.053485261,211.0988563,0.049036379,110.3601451,0.043145057,-23.04057655,0.00868818,102.9470969,0.008318457,56.01153405,0.007788739,-11.23518839,0.000221641,443.9938317,0.000186275,213.5824678,0.000146051,-48.47723585,-5.768814074,-0.823940704,0.630708531,42.90600464,3.898191986,-4.700140407,21.86869439
0.09,0.91,4.20E+03,20.86869439,0.053956058,221.7593843,0.049468015,120.1339347,0.043213785,-21.48433186,0.008727222,107.9033546,0.008355838,60.75687978,0.007794903,-10.45266591,0.000225399,468.475305,0.000189433,234.1575466,0.000146523,-45.40511865,-6.302728256,-1.112096588,0.611764997,47.13247494,5.903070643,-4.584888113,21.87349327
0.08,0.92,4.25E+03,20.81754186,0.054487271,233.7879649,0.049955042,131.1619829,0.043286272,-19.84297364,0.008771074,113.4703494,0.008397824,66.08697286,0.007801386,-9.629659042,0.000229675,496.3349401,0.000193027,257.5717496,0.000147023,-42.14730286,-6.930452496,-1.461448307,0.589472381,52.13780688,8.363982151,-4.445652949,21.8782397
0.07,0.93,4.29E+03,20.75954992,0.055095839,247.5681423,0.05051299,143.7959307,0.043363152,-18.10213423,0.008821057,119.8155285,0.00844568,72.16213485,0.00780824,-8.759533575,0.000234622,528.5594054,0.000197184,284.6543072,0.000147556,-38.67068999,-7.682064818,-1.892769479,0.563065553,58.17993501,11.44203876,-4.276634952,21.88293483
0.06,0.94,4.34E+03,20.69260313,0.055806837,263.6676945,0.051164847,158.5563287,0.043445275,-16.24257146,0.008879112,127.1854779,0.008501264,79.21845841,0.007815535,-7.833449449,0.000240464,566.6237595,0.000202094,316.6449097,0.00014813,-34.93052578,-8.603384762,-2.438050858,0.531474854,65.65513997,15.3878852,-4.069640003,21.88757973
0.05,0.95,4.39E+03,20.61342188,0.056659622,282.9778154,0.051946698,176.2602416,0.043533831,-14.23733383,0.008948269,135.9649137,0.008567479,87.62428816,0.007823368,-6.839098016,0.000247563,612.8697294,0.00020806,355.5116258,0.000148755,-30.86342003,-9.768661192,-3.149736258,0.493128905,75.21188012,20.61716677,-3.812485766,21.89217548
0.04,0.96,4.43E+03,20.51651187,0.057721101,307.0135271,0.052919883,198.2966725,0.043630595,-12.0462616,0.009033645,146.8031902,0.008649221,98.00134524,0.007831882,-5.758268704,0.000256536,671.3321602,0.000215602,404.645479,0.000149444,-26.37363757,-11.30877621,-4.121441103,0.445556018,88.00645875,27.88180127,-3.485740539,21.89672311
0.03,0.97,4.48E+03,20.39157313,0.059118984,338.6666246,0.054201491,227.3168782,0.043738461,-9.603780577,0.009144917,160.9288947,0.008755758,111.5259349,0.007841309,-4.561491116,0.000268587,749.8412968,0.000225729,470.6272787,0.000150222,-21.30219965,-13.48441696,-5.542257439,0.384455881,106.3747101,38.7252101,-3.055016552,21.90122361
0.025112347,0.974887653,4.50E+03,20.31433918,0.06,358.616,0.055009224,245.6068727,0.043800695,-8.194590678,0.009214386,169.7479346,0.008822271,119.9696833,0.007846697,-3.8774881,0.000276317,800.2073231,0.000232227,512.956633,0.00015068,-18.32128165,-14.93930543,-6.51785616,0.342726099,118.8369231,46.30357487,-2.751559359,21.90340645
0.02,0.98,4.52E+03,20.21548187,0.06114686,384.585041,0.056060689,269.4158194,0.043862928,-6.785400779,0.009304076,181.1338827,0.008908144,130.8711061,0.007852085,-3.193485084,0.000286538,866.7954044,0.000240817,568.9195646,0.000151137,-15.34036365,-16.92741337,-7.878040944,0.300996317,136.0838265,57.02950771,-2.448102166,21.90567795
0.01,0.99,4.57E+03,19.91445188,0.064775938,466.7604398,0.059387902,344.7559019,0.044018178,-3.269987752,0.009582603,216.4922986,0.009174818,164.7248558,0.007865313,-1.514301675,0.000320049,1085.118186,0.00026898,752.4055977,0.000152316,-7.662904033,-23.88932786,-12.82443367,0.169742017,198.2733503,97.36938405,-1.449927304,21.91008707
0.009,0.991,4.57E+03,19.86869439,0.06534612,479.671393,0.059910656,356.5929272,0.043637907,-11.88069495,0.009625664,221.9587887,0.009216047,169.9587211,0.007795875,-10.32919994,0.000325475,1120.469282,0.00027354,782.1158845,0.000151066,-15.80415911,-25.0719787,-13.68663642,-4.21064204,209.0936357,104.5893228,6.769161292,21.91052553
0.008,0.992,4.58E+03,19.81754186,0.065989471,494.2391932,0.060500494,369.9489838,0.043698407,-10.51074596,0.009674031,228.0988894,0.009262356,175.8375318,0.007805138,-9.153362406,0.00033165,1160.698424,0.00027873,815.9258493,0.000151345,-13.98823326,-26.43429509,-14.68619483,-3.740328235,221.6439566,113.0227801,5.982184072,21.91096355
0.007,0.993,4.58E+03,19.75954992,0.066726508,510.9283503,0.061176224,385.2499436,0.043759583,-9.12549602,0.009729159,235.0972862,0.009315138,182.5381141,0.007814453,-7.970824292,0.000338792,1207.230353,0.000284733,855.0328953,0.00015163,-12.13320036,-28.0308142,-15.86560687,-3.271193841,236.4664871,123.0580025,5.205242075,21.91140113
0.006,0.994,4.59E+03,19.69260313,0.067587596,530.4264996,0.061965688,403.1262446,0.043821549,-7.722369775,0.009793191,243.2259505,0.009376444,190.3208657,0.007823829,-6.780503426,0.000347229,1262.195045,0.000291823,901.2271281,0.000151921,-10.23197324,-29.94369672,-17.28915033,-2.803482992,254.3846961,135.2872632,4.440529338,21.91183826
0.005,0.995,4.59E+03,19.61342188,0.068620403,553.8129649,0.062912586,424.5674333,0.043884462,-6.297802342,0.009869468,252.9092038,0.009449476,199.5920512,0.007833279,-5.580911375,0.000357479,1328.97394,0.000300438,957.3504264,0.000152222,-8.274622809,-32.30447311,-19.06017698,-2.337543169,276.7293071,150.672303,3.691201641,21.91227496
0.004,0.996,4.60E+03,19.51651187,0.06990596,582.9225878,0.06409121,451.2557296,0.043948553,-4.846546612,0.009963633,264.8632494,0.009539634,211.0373962,0.007842819,-4.369873979,0.000370436,1413.39333,0.000311328,1028.299407,0.000152533,-6.246323401,-35.34188331,-21.35930459,-1.873902473,305.8404131,170.9135211,2.962115162,21.91271122
0.003,0.997,4.60E+03,19.39157313,0.071598934,621.257618,0.065643364,486.4020676,0.044014196,-3.360144545,0.010086359,280.4431542,0.009657138,225.954303,0.007852476,-3.143919676,0.000387837,1526.760039,0.000325952,1123.576719,0.000152859,-4.122746682,-39.50451913,-24.54276179,-1.413445235,346.3705647,199.4127908,2.261527953,21.91314703
0.002,0.998,4.61E+03,19.21548187,0.074054892,676.8693597,0.067895036,537.3880471,0.044082091,-1.822756498,0.010261904,302.7281871,0.009825212,247.2910034,0.007862301,-1.896628672,0.000413759,1695.641049,0.000347738,1265.510174,0.000153207,-1.857236508,-45.85953316,-29.46384083,-0.957909076,409.5892656,244.4728842,1.606000837,21.91358242
0.001,0.999,4611.300056,18.91445188,0.078450065,776.3918911,0.07192462,628.6323348,0.044154016,-0.194124163,0.010569104,341.7266492,0.010119339,284.6298984,0.00787242,-0.611998774,0.000462149,2010.897799,0.000388406,1530.462874,0.000153595,0.673226365,-58.11517471,-39.115754,-0.51202483,535.7532055,336.0614374,1.042062274,21.91401736